,Unnamed: 0,name,ingredients,prep_time,instructions,difficulty,category,rating
0,0.0,Pancakes,"1 cup flour, 2 eggs, 0.5 cup milk, 2 tbsp butter",10,Whisk ingredients together. Cook on a hot griddle until bubbles form. Flip and cook until golden brown.,Easy,Breakfast,5
1,1.0,Chicken Caesar Salad,"200g chicken breast, 1 head romaine lettuce, 0.5 cup croutons, 3 tbsp caesar dressing",15,"Grill chicken until cooked through and slice. Chop lettuce and toss with croutons, dressing, and chicken.",Easy,Lunch,4
2,2.0,Spaghetti Bolognese,"200g spaghetti, 300g minced beef, 1 can chopped tomatoes, 1 onion, 2 cloves garlic",35,Boil pasta. Brown minced beef with chopped onion and garlic. Add tomatoes and simmer. Pour over pasta.,Medium,Dinner,5
3,3.0,Avocado Toast,"2 slices bread, 1 avocado, 1 egg, 1 tsp lemon juice, salt, black pepper",10,"Toast the bread. Mash avocado with lemon juice, salt, and pepper. Fry or boil the egg. Spread avocado on toast and top with egg.",Easy,Breakfast,5
4,4.0,Omelette,"3 eggs, 0.25 cup milk, 0.25 cup cheese, 0.25 onion, 0.25 bell pepper, salt, black pepper",12,"Beat eggs with milk, salt, and pepper. Cook onion and bell pepper for 2 minutes. Add eggs and cheese. Fold when set and serve warm.",Easy,Breakfast,4
5,5.0,Banana Oat Smoothie,"1 banana, 0.5 cup oats, 1 cup milk, 1 tbsp peanut butter, 1 tsp honey",5,Add all ingredients to a blender. Blend until smooth. Serve cold.,Easy,Breakfast,4
6,6.0,Greek Yogurt Bowl,"1 cup Greek yogurt, 0.5 cup granola, 0.5 cup berries, 1 tbsp honey, 1 tbsp chia seeds",5,"Add yogurt to a bowl. Top with granola, berries, honey, and chia seeds. Serve immediately.",Easy,Breakfast,5
7,7.0,French Toast,"2 slices bread, 2 eggs, 0.25 cup milk, 1 tsp cinnamon, 1 tbsp butter, 1 tbsp syrup",15,"Whisk eggs, milk, and cinnamon. Dip bread into mixture. Cook in butter until golden on both sides. Serve with syrup.",Easy,Breakfast,5
8,8.0,Tuna Sandwich,"1 can tuna, 2 slices bread, 1 tbsp mayonnaise, 0.25 cucumber, 0.25 onion, lettuce, black pepper",8,"Mix tuna with mayonnaise, onion, cucumber, and pepper. Add lettuce to bread, fill with tuna mixture, and serve.",Easy,Lunch,4
9,9.0,Chicken Wrap,"1 tortilla wrap, 150g chicken breast, 0.25 cup lettuce, 0.25 cup tomato, 2 tbsp garlic sauce, salt, black pepper",20,"Season and cook chicken until done. Slice it. Add lettuce, tomato, chicken, and sauce to the wrap. Roll tightly and serve.",Easy,Lunch,5
10,10.0,Turkey Club Sandwich,"3 slices bread, 100g turkey slices, 2 lettuce leaves, 2 tomato slices, 2 tbsp mayonnaise, 2 slices cheese",10,"Toast bread. Layer turkey, lettuce, tomato, cheese, and mayonnaise. Stack the sandwich and cut into halves.",Easy,Lunch,4
11,11.0,Egg Fried Rice,"2 cups cooked rice, 2 eggs, 0.5 cup mixed vegetables, 2 tbsp soy sauce, 1 tbsp oil, 1 spring onion",15,Scramble eggs in oil. Add vegetables and rice. Stir in soy sauce and cook until hot. Top with spring onion.,Easy,Lunch,5
12,12.0,Chicken Noodle Soup,"200g chicken breast, 1 cup noodles, 1 carrot, 1 celery stalk, 4 cups chicken stock, salt, black pepper",30,"Boil chicken in stock until cooked. Shred chicken. Add carrot, celery, and noodles. Simmer until noodles are tender.",Easy,Lunch,4
13,13.0,Beef Burger,"200g minced beef, 1 burger bun, 1 cheese slice, lettuce, tomato, 1 tbsp burger sauce, salt, black pepper",25,"Shape beef into a patty and season. Cook until done. Toast bun and assemble with cheese, lettuce, tomato, and sauce.",Medium,Dinner,5
14,14.0,Chicken Alfredo Pasta,"200g fettuccine, 200g chicken breast, 0.75 cup cream, 0.25 cup parmesan, 2 cloves garlic, 1 tbsp butter",30,Boil pasta. Cook chicken with garlic and butter. Add cream and parmesan. Toss with pasta until coated.,Medium,Dinner,5
15,15.0,Vegetable Stir Fry,"1 cup broccoli, 1 bell pepper, 1 carrot, 0.5 cup mushrooms, 2 tbsp soy sauce, 1 tbsp oil, 1 tsp garlic",20,Heat oil and cook garlic. Add vegetables and stir fry until tender. Add soy sauce and cook for 2 more minutes.,Easy,Dinner,4
16,16.0,Chicken Curry,"300g chicken breast, 1 onion, 2 cloves garlic, 1 tbsp curry powder, 1 cup coconut milk, 1 tbsp oil, salt",35,Cook onion and garlic in oil. Add chicken and curry powder. Pour in coconut milk and simmer until chicken is cooked.,Medium,Dinner,5
17,17.0,Baked Salmon,"200g salmon fillet, 1 tbsp olive oil, 1 lemon, 1 tsp garlic, salt, black pepper, parsley",25,"Season salmon with oil, lemon, garlic, salt, and pepper. Bake until cooked through. Garnish with parsley.",Easy,Dinner,5
18,18.0,Shrimp Tacos,"200g shrimp, 2 tortillas, 0.5 cup cabbage, 0.25 cup tomato, 2 tbsp sour cream, 1 lime, taco seasoning",20,"Season and cook shrimp. Warm tortillas. Add cabbage, tomato, shrimp, sour cream, and lime juice.",Medium,Dinner,4
19,19.0,Lentil Soup,"1 cup red lentils, 1 onion, 1 carrot, 1 tsp cumin, 4 cups vegetable stock, 1 tbsp olive oil, salt",30,"Cook onion and carrot in oil. Add lentils, cumin, stock, and salt. Simmer until soft, then blend if desired.",Easy,Dinner,4
20,20.0,Margherita Pizza,"1 pizza base, 0.5 cup tomato sauce, 1 cup mozzarella, 1 tomato, basil leaves, 1 tbsp olive oil",25,Spread tomato sauce on pizza base. Add mozzarella and tomato slices. Bake until cheese melts. Top with basil and olive oil.,Easy,Dinner,5
21,21.0,Chicken Quesadilla,"2 tortillas, 150g cooked chicken, 0.5 cup cheese, 0.25 bell pepper, 0.25 onion, 2 tbsp salsa",15,"Fill tortilla with chicken, cheese, pepper, and onion. Cook in a pan until crispy and melted. Serve with salsa.",Easy,Lunch,5
22,22.0,Beef Tacos,"200g minced beef, 3 taco shells, 0.5 cup lettuce, 0.25 cup tomato, 0.25 cup cheese, taco seasoning",20,"Cook beef with taco seasoning. Fill taco shells with beef, lettuce, tomato, and cheese. Serve warm.",Easy,Dinner,5
23,23.0,Caprese Salad,"2 tomatoes, 150g mozzarella, basil leaves, 1 tbsp olive oil, 1 tsp balsamic vinegar, salt, black pepper",10,Slice tomatoes and mozzarella. Arrange with basil. Drizzle olive oil and balsamic vinegar. Season and serve.,Easy,Lunch,4
24,24.0,Chickpea Salad,"1 can chickpeas, 0.5 cucumber, 1 tomato, 0.25 onion, 1 tbsp olive oil, 1 tbsp lemon juice, parsley",10,"Mix chickpeas, cucumber, tomato, onion, and parsley. Add olive oil and lemon juice. Toss and serve.",Easy,Lunch,4
